# time(us)	tip(nm)	Fts(nN)	Xb(nm)
2.968889248550312186e+04	-4.763235483892935918e+01	-8.628380444513588543e+00	-4.763246322273403166e+01
2.968889605693169142e+04	-4.763127078283416438e+01	-8.655426895745591764e+00	-4.763137920564219741e+01
2.968889962836026098e+04	-4.763018636024148122e+01	-8.682269410065586612e+00	-4.763029481777336116e+01
2.968890319978883053e+04	-4.762910161395402753e+01	-8.708906933159074271e+00	-4.762921010192889071e+01
2.968890677121740009e+04	-4.762801658678724692e+01	-8.735338418872213850e+00	-4.762812510092302176e+01
2.968891034264596965e+04	-4.762693132156754672e+01	-8.761562829236639871e+00	-4.762703985758115266e+01
2.968891391407453921e+04	-4.762584586113064944e+01	-8.787579134530810521e+00	-4.762595441473813196e+01
2.968891748550310876e+04	-4.762476024831989463e+01	-8.813386313288003038e+00	-4.762486881523663129e+01
2.968892105693167832e+04	-4.762367452598453355e+01	-8.838983352373167790e+00	-4.762378310192537612e+01
2.968892462836024788e+04	-4.762258873697806649e+01	-8.864369246992982454e+00	-4.762269731765752567e+01
2.968892819978881744e+04	-4.762150292415653041e+01	-8.889543000748140855e+00	-4.762161150528893216e+01
2.968893177121738699e+04	-4.762041713037680779e+01	-8.914503625666139186e+00	-4.762052570767649229e+01
2.968893534264595655e+04	-4.761933139849497110e+01	-8.939250142246958575e+00	-4.761943996767639220e+01
2.968893891407452611e+04	-4.761824577136452064e+01	-8.963781579494769503e+00	-4.761835432814250879e+01
2.968894248550309567e+04	-4.761716029183477872e+01	-8.988096974950650520e+00	-4.761726883192463333e+01
2.968894605693166523e+04	-4.761607500274914884e+01	-9.012195374743004805e+00	-4.761618352186684433e+01
2.968894962836023478e+04	-4.761498994694342457e+01	-9.036075833610574648e+00	-4.761509844080576670e+01
2.968895319978880434e+04	-4.761390516724411981e+01	-9.059737414952452994e+00	-4.761401363156892330e+01
2.968895677121737390e+04	-4.761282070646677766e+01	-9.083179190842599837e+00	-4.761292913697303675e+01
2.968896034264594346e+04	-4.761173660741426517e+01	-9.106400242098557030e+00	-4.761184499982230278e+01
2.968896391407451301e+04	-4.761065291287510348e+01	-9.129399658277254304e+00	-4.761076126290677024e+01
2.968896748550308257e+04	-4.760956966562177683e+01	-9.152176537746544938e+00	-4.760967796900059312e+01
2.968897105693165213e+04	-4.760848690840902009e+01	-9.174729987698073685e+00	-4.760859516086036081e+01
2.968897462836022169e+04	-4.760740468397218450e+01	-9.197059124181281575e+00	-4.760751288122342828e+01
2.968897819978879124e+04	-4.760632303502549689e+01	-9.219163072155248884e+00	-4.760643117280621794e+01
2.968898177121736080e+04	-4.760524200426041119e+01	-9.241040965501175819e+00	-4.760535007830253562e+01
2.968898534264593036e+04	-4.760416163434390313e+01	-9.262691947061560072e+00	-4.760426964038189368e+01
2.968898891407449992e+04	-4.760308196791681468e+01	-9.284115168680836305e+00	-4.760318990168780573e+01
2.968899248550306947e+04	-4.760200304759213452e+01	-9.305309791237041495e+00	-4.760211090483612395e+01
2.968899605693163903e+04	-4.760092491595334963e+01	-9.326274984659974621e+00	-4.760103269241336932e+01
2.968899962836020859e+04	-4.759984761555275412e+01	-9.347009927979662791e+00	-4.759995530697502630e+01
2.968900319978877815e+04	-4.759877118890977243e+01	-9.367513809345449971e+00	-4.759887879104388020e+01
2.968900677121734770e+04	-4.759769567850926819e+01	-9.387785826067117867e+00	-4.759780318710832603e+01
2.968901034264591726e+04	-4.759662112679989576e+01	-9.407825184637793825e+00	-4.759672853762072720e+01
2.968901391407448682e+04	-4.759554757619240206e+01	-9.427631100772439154e+00	-4.759565488499567465e+01
2.968901748550305638e+04	-4.759447506905797809e+01	-9.447202799422727892e+00	-4.759458227160839527e+01
2.968902105693162594e+04	-4.759340364772655363e+01	-9.466539514820066614e+00	-4.759351073979303237e+01
2.968902462836019549e+04	-4.759233335448515589e+01	-9.485640490501422661e+00	-4.759244033184098299e+01
2.968902819978876505e+04	-4.759126423157625396e+01	-9.504504979342497606e+00	-4.759137108999922106e+01
2.968903177121733461e+04	-4.759019632119603926e+01	-9.523132243569966349e+00	-4.759030305646866310e+01
2.968903534264590417e+04	-4.758912966549281265e+01	-9.541521554810385553e+00	-4.758923627340246298e+01
2.968903891407447372e+04	-4.758806430656530040e+01	-9.559672194104331666e+00	-4.758817078290438474e+01
2.968904248550304328e+04	-4.758700028646100577e+01	-9.577583451936204639e+00	-4.758710662702712568e+01
2.968904605693161284e+04	-4.758593764717453212e+01	-9.595254628263498731e+00	-4.758604384777065377e+01
2.968904962836018240e+04	-4.758487643064595574e+01	-9.612685032543485164e+00	-4.758498248708056622e+01
2.968905319978875195e+04	-4.758381667875912058e+01	-9.629873983752888833e+00	-4.758392258684641973e+01
2.968905677121732151e+04	-4.758275843334005373e+01	-9.646820810427017889e+00	-4.758286418890009628e+01
2.968906034264589107e+04	-4.758170173615527432e+01	-9.663524850671635136e+00	-4.758180733501411197e+01
2.968906391407446063e+04	-4.758064662891013086e+01	-9.679985452192108042e+00	-4.758075206690004677e+01
2.968906748550303018e+04	-4.757959315324720961e+01	-9.696201972321038198e+00	-4.757969842620681789e+01
2.968907105693159974e+04	-4.757854135074465773e+01	-9.712173778042716421e+00	-4.757864645451908103e+01
2.968907462836016930e+04	-4.757749126291453479e+01	-9.727900246014131724e+00	-4.757759619335558909e+01
2.968907819978873886e+04	-4.757644293120120693e+01	-9.743380762585458044e+00	-4.757654768416754365e+01
2.968908177121730841e+04	-4.757539639697967004e+01	-9.758614723830543625e+00	-4.757550096833696074e+01
2.968908534264587797e+04	-4.757435170155397230e+01	-9.773601535562738363e+00	-4.757445608717505792e+01
2.968908891407444753e+04	-4.757330888615554443e+01	-9.788340613364878706e+00	-4.757341308192058449e+01
2.968909248550301709e+04	-4.757226799194157962e+01	-9.802831382603347521e+00	-4.757237199373825121e+01
2.968909605693158665e+04	-4.757122905999342777e+01	-9.817073278453465335e+00	-4.757133286371705339e+01
2.968909962836015620e+04	-4.757019213131495405e+01	-9.831065745921199195e+00	-4.757029573286867929e+01
2.968910319978872576e+04	-4.756915724683094027e+01	-9.844808239865065147e+00	-4.756926064212590433e+01
2.968910677121729532e+04	-4.756812444738547185e+01	-9.858300225008706619e+00	-4.756822763234092122e+01
2.968911034264586488e+04	-4.756709377374029657e+01	-9.871541175972389226e+00	-4.756719674428381239e+01
2.968911391407443443e+04	-4.756606526657324707e+01	-9.884530577278454189e+00	-4.756616801864088018e+01
2.968911748550300399e+04	-4.756503896647664220e+01	-9.897267923391462219e+00	-4.756514149601304808e+01
2.968912105693157355e+04	-4.756401491395566694e+01	-9.909752718714141650e+00	-4.756411721691429051e+01
2.968912462836014311e+04	-4.756299314942676659e+01	-9.921984477619529841e+00	-4.756309522176999849e+01
2.968912819978871266e+04	-4.756197371321609069e+01	-9.933962724463905047e+00	-4.756207555091543071e+01
2.968913177121728222e+04	-4.756095664555785163e+01	-9.945686993608942927e+00	-4.756105824459405795e+01
