# time(us)	tip(nm)	Fts(nN)	Xb(nm)
2.968889248550312186e+04	-4.240781344873962411e+01	-2.784676758702004928e-01	-4.330270008518061786e+01
2.968889605693169142e+04	-4.239981854074921586e+01	-2.749227981244668495e-01	-4.330173649042119877e+01
2.968889962836026098e+04	-4.239182105573064518e+01	-2.714427414738669331e-01	-4.330077526101639762e+01
2.968890319978883053e+04	-4.238382137080658651e+01	-2.680261427932983942e-01	-4.329981637831792085e+01
2.968890677121740009e+04	-4.237581986538866374e+01	-2.646716717221987980e-01	-4.329885982393149391e+01
2.968891034264596965e+04	-4.236781692113900988e+01	-2.613780297964157784e-01	-4.329790557971251985e+01
2.968891391407453921e+04	-4.235981292193119430e+01	-2.581439496048166249e-01	-4.329695362776223533e+01
2.968891748550310876e+04	-4.235180825381026892e+01	-2.549681939702284073e-01	-4.329600395042346861e+01
2.968892105693167832e+04	-4.234380330495223888e+01	-2.518495551535986365e-01	-4.329505653027688084e+01
2.968892462836024788e+04	-4.233579846562273019e+01	-2.487868540810571627e-01	-4.329411135013695855e+01
2.968892819978881744e+04	-4.232779412813499675e+01	-2.457789395928552389e-01	-4.329316839304828335e+01
2.968893177121738699e+04	-4.231979068680725220e+01	-2.428246877136925885e-01	-4.329222764228185127e+01
2.968893534264595655e+04	-4.231178853791926997e+01	-2.399230009438772515e-01	-4.329128908133120746e+01
2.968893891407452611e+04	-4.230378807966837940e+01	-2.370728075704122972e-01	-4.329035269390906393e+01
2.968894248550309567e+04	-4.229578971212475125e+01	-2.342730609977178025e-01	-4.328941846394352666e+01
2.968894605693166523e+04	-4.228779383718604379e+01	-2.315227390971481003e-01	-4.328848637557479151e+01
2.968894962836023478e+04	-4.227980085853143066e+01	-2.288208435749343739e-01	-4.328755641315154890e+01
2.968895319978880434e+04	-4.227181118157501771e+01	-2.261663993578426068e-01	-4.328662856122777214e+01
2.968895677121737390e+04	-4.226382521341854215e+01	-2.235584539961610329e-01	-4.328570280455923580e+01
2.968896034264594346e+04	-4.225584336280360986e+01	-2.209960770833604982e-01	-4.328477912810034667e+01
2.968896391407451301e+04	-4.224786604006323643e+01	-2.184783596920113757e-01	-4.328385751700101736e+01
2.968896748550308257e+04	-4.223989365707284804e+01	-2.160044138255230450e-01	-4.328293795660329124e+01
2.968897105693165213e+04	-4.223192662720069990e+01	-2.135733718850689189e-01	-4.328202043243844344e+01
