# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.855557784850606549e+04	2.083231633965254161e+02	-5.372324075409348563e-06	-4.057477036343119892e+01
1.855560034850605371e+04	2.087497826884040251e+02	-5.354075620407144369e-06	-4.057222872433575844e+01
1.855562249136318496e+04	2.091663158426196674e+02	-5.336348757388938677e-06	-4.056973211301772153e+01
1.855564463422031622e+04	2.095795235786034141e+02	-5.318850866359243061e-06	-4.056724012589356221e+01
1.855566677707744748e+04	2.099893607228255235e+02	-5.301581196499530230e-06	-4.056475274059710046e+01
1.855568891993457873e+04	2.103957743473924609e+02	-5.284539335165270568e-06	-4.056226993490439270e+01
1.855571141993456695e+04	2.108051738620494007e+02	-5.267455865654735565e-06	-4.055975175221388440e+01
1.855573356279169820e+04	2.112044935575310376e+02	-5.250873346538653314e-06	-4.055727811259529858e+01
1.855575570564882946e+04	2.116001850015257730e+02	-5.234519289810880322e-06	-4.055480898639932263e+01
1.855577784850596072e+04	2.119921663963803553e+02	-5.218394477855766769e-06	-4.055234435196086196e+01
1.855580034850594529e+04	2.123865791100687375e+02	-5.202245466635332630e-06	-4.054984454419665241e+01
1.855582249136307655e+04	2.127708070831106966e+02	-5.186586185167985052e-06	-4.054738890040183463e+01
1.855584463422020781e+04	2.131510428257646197e+02	-5.171159876118401936e-06	-4.054493768383914443e+01
1.855586677707733907e+04	2.135271830070847159e+02	-5.155968136216653968e-06	-4.054249087338279622e+01
1.855588891993447032e+04	2.138991205557097999e+02	-5.141012692365788081e-06	-4.054004844803849750e+01
1.855591141993445854e+04	2.142726388762947636e+02	-5.126059956239949971e-06	-4.053757109902494449e+01
1.855593356279158979e+04	2.146357664180286804e+02	-5.111586537872024739e-06	-4.053513745132912049e+01
1.855595570564872105e+04	2.149943533870714134e+02	-5.097355097698369937e-06	-4.053270812620824870e+01
1.855597784850585231e+04	2.153482854333623493e+02	-5.083367571670734580e-06	-4.053028310318447325e+01
1.855600034850584052e+04	2.157030403748447043e+02	-5.069406254663187133e-06	-4.052782335266733327e+01
1.855602249136297178e+04	2.160472415261428978e+02	-5.055916242970086081e-06	-4.052540694147601386e+01
1.855604463422010303e+04	2.163864474451555395e+02	-5.042675711335449294e-06	-4.052299477137645312e+01
1.855606677707723429e+04	2.167205495009062020e+02	-5.029686319992937254e-06	-4.052058682239009357e+01
1.855608891993436555e+04	2.170494424274703533e+02	-5.016949593864813010e-06	-4.051818307466021452e+01
1.855611141993435376e+04	2.173782000520436952e+02	-5.004267654424882178e-06	-4.051574483992772713e+01
1.855613356279148502e+04	2.176962879066105643e+02	-4.992044305400516893e-06	-4.051334950259012402e+01
1.855615570564861628e+04	2.180088764361661049e+02	-4.980077181831041913e-06	-4.051095830734596603e+01
