# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.855557784850606549e+04	1.570485542055186556e+02	-8.401419723071731210e-06	-4.194429890602221178e+01
1.855560034850605371e+04	1.573565307246099394e+02	-8.375710459258972753e-06	-4.194173572738534261e+01
1.855562249136318496e+04	1.576561058292502935e+02	-8.350817475427573465e-06	-4.193921777021098052e+01
1.855564463422031622e+04	1.579521056210671190e+02	-8.326332367555482940e-06	-4.193670429135053013e+01
1.855566677707744748e+04	1.582444406177880012e+02	-8.302257986034776595e-06	-4.193419526956669330e+01
1.855568891993457873e+04	1.585330224310812923e+02	-8.278597062585325560e-06	-4.193169068375298281e+01
1.855571141993456695e+04	1.588223249690383057e+02	-8.254980677708303191e-06	-4.192915022366108957e+01
1.855573356279169820e+04	1.591030782658231715e+02	-8.232160972508370563e-06	-4.192665451768962015e+01
1.855575570564882946e+04	1.593798236494033347e+02	-8.209761878867537642e-06	-4.192416318481021165e+01
1.855577784850596072e+04	1.596524822053719106e+02	-8.187785301546184340e-06	-4.192167620443104425e+01
1.855580034850594529e+04	1.599252745764823374e+02	-8.165888731301824014e-06	-4.191915354875769850e+01
1.855582249136307655e+04	1.601894681724444922e+02	-8.144768641011345577e-06	-4.191667528148215638e+01
1.855584463422020781e+04	1.604493594675384145e+02	-8.124075048069272871e-06	-4.191420130535536970e+01
1.855586677707733907e+04	1.607048855910665566e+02	-8.103808628939409284e-06	-4.191173160028341727e+01
1.855588891993447032e+04	1.609559883641789781e+02	-8.083969720588103739e-06	-4.190926614629380254e+01
1.855591141993445854e+04	1.612065553588933540e+02	-8.064248729811777596e-06	-4.190676526095757737e+01
1.855593356279158979e+04	1.614485831353571825e+02	-8.045271358646739664e-06	-4.190430831746233764e+01
1.855595570564872105e+04	1.616860420066355175e+02	-8.026720426456593040e-06	-4.190185556553548452e+01
1.855597784850585231e+04	1.619188938563489160e+02	-8.008594895460599235e-06	-4.189940698568246802e+01
1.855600034850584052e+04	1.621507482405525593e+02	-7.990611360884117650e-06	-4.189692316620434553e+01
1.855602249136297178e+04	1.623742161955032373e+02	-7.973339030087865992e-06	-4.189448293899219067e+01
1.855604463422010303e+04	1.625929921403927096e+02	-7.956487063823695653e-06	-4.189204682575866201e+01
1.855606677707723429e+04	1.628070573361950721e+02	-7.940053219711368162e-06	-4.188961480747218502e+01
1.855608891993436555e+04	1.630163973737693652e+02	-7.924035007771576184e-06	-4.188718686521422541e+01
1.855611141993435376e+04	1.632242631116778568e+02	-7.908181386602540245e-06	-4.188472391840255682e+01
1.855613356279148502e+04	1.634240489246367360e+02	-7.892992701611764632e-06	-4.188230413687860221e+01
1.855615570564861628e+04	1.636190892362675697e+02	-7.878210917923541111e-06	-4.187988837499807460e+01
1.855617784850574753e+04	1.638093837599762139e+02	-7.863832838233208392e-06	-4.187747661428754498e+01
1.855620034850573575e+04	1.639978886626033443e+02	-7.849632985447533982e-06	-4.187503003379170963e+01
1.855622249136286700e+04	1.641786241068635377e+02	-7.836058746917204851e-06	-4.187262628423059141e+01
1.855624463421999826e+04	1.643546265422695569e+02	-7.822878123673690661e-06	-4.187022648077665821e+01
1.855626677707712952e+04	1.645259032423118981e+02	-7.810087737259828065e-06	-4.186783060538823520e+01
1.855628891993426078e+04	1.646924622386521833e+02	-7.797684248826529176e-06	-4.186543864012909921e+01
1.855631141993424899e+04	1.648568838070631841e+02	-7.785473649126560124e-06	-4.186301208165996712e+01
1.855633356279138025e+04	1.650139565420410293e+02	-7.773840371313403907e-06	-4.186062794561723166e+01
1.855635570564851150e+04	1.651663359301896605e+02	-7.762584483565712713e-06	-4.185824766623675686e+01
1.855637784850564276e+04	1.653140286914710373e+02	-7.751703119017221689e-06	-4.185587122599812204e+01
1.855640034850563097e+04	1.654593085326942514e+02	-7.741027121884471484e-06	-4.185346037066379665e+01
1.855642249136276223e+04	1.655975671878117339e+02	-7.730892909643575177e-06	-4.185109161777303655e+01
1.855644463421989349e+04	1.657311501993312959e+02	-7.721125791518136544e-06	-4.184872665179243256e+01
1.855646677707702474e+04	1.658600571299343471e+02	-7.711723774374710703e-06	-4.184636545560512388e+01
1.855648891993415600e+04	1.659842851165381603e+02	-7.702685124304921481e-06	-4.184400801219283750e+01
1.855651141993414421e+04	1.661057183974670011e+02	-7.693871387823941779e-06	-4.184161637213113494e+01
1.855653356279127547e+04	1.662204936480327433e+02	-7.685561163433643166e-06	-4.183926644345226720e+01
1.855655570564840673e+04	1.663305651863162780e+02	-7.677610729950205202e-06	-4.183692021680954554e+01
1.855657784850553799e+04	1.664359192277418629e+02	-7.670019459637954522e-06	-4.183457767557385409e+01
1.855660034850552620e+04	1.665381232385909414e+02	-7.662673285278234967e-06	-4.183220110943769043e+01
1.855662249136265746e+04	1.666339131580808726e+02	-7.655805331427821518e-06	-4.182986594828467730e+01
1.855664463421978871e+04	1.667249277232619136e+02	-7.649296269430886180e-06	-4.182753442295666702e+01
1.855666677707691997e+04	1.668111428219821732e+02	-7.643146509354271294e-06	-4.182520651720268035e+01
1.855668891993405123e+04	1.668925322425562570e+02	-7.637356683326859450e-06	-4.182288221486414415e+01
1.855671141993403944e+04	1.669702624659597632e+02	-7.631843021189065827e-06	-4.182052409829621098e+01
1.855673356279117070e+04	1.670418359281663072e+02	-7.626781586642263885e-06	-4.181820701215210789e+01
1.855675570564830196e+04	1.671084949792617351e+02	-7.622083115986681675e-06	-4.181589348124082761e+01
1.855677784850543321e+04	1.671702081882984601e+02	-7.617748900494418072e-06	-4.181358348976886674e+01
1.855680034850542143e+04	1.672278179228920010e+02	-7.613719321492534987e-06	-4.181123984972884244e+01
1.855682249136255268e+04	1.672794632325155817e+02	-7.610123772687816626e-06	-4.180893694656647597e+01
1.855684463421968394e+04	1.673260677216271120e+02	-7.606896823185259637e-06	-4.180663753574636843e+01
1.855686677707681520e+04	1.673676013669858946e+02	-7.604039955738346495e-06	-4.180434160182985437e+01
1.855688891993394645e+04	1.674040356603517523e+02	-7.601554619705222702e-06	-4.180204912946517481e+01
1.855691141993393467e+04	1.674358069137358882e+02	-7.599411190162038854e-06	-4.179972321176861527e+01
1.855693356279106592e+04	1.674618821431957372e+02	-7.597679013803226213e-06	-4.179743767201343019e+01
1.855695570564819718e+04	1.674827859448972447e+02	-7.596322209816660889e-06	-4.179515554802735267e+01
1.855697784850532844e+04	1.674985005444178512e+02	-7.595341770902379402e-06	-4.179287682480162402e+01
1.855700034850531665e+04	1.675091387590216527e+02	-7.594731865079955856e-06	-4.179056481608491680e+01
1.855702249136244791e+04	1.675143528792503673e+02	-7.594512448892728821e-06	-4.178829290393844076e+01
1.855704463421957917e+04	1.675143484212630938e+02	-7.594671142158042827e-06	-4.178602434779006103e+01
1.855706677707671042e+04	1.675091248337849663e+02	-7.595208027228024801e-06	-4.178375913296476796e+01
1.855708891993384168e+04	1.674986866161186470e+02	-7.596122905212562466e-06	-4.178149724486925010e+01
1.855711141993382989e+04	1.674827486510255596e+02	-7.597439214041581314e-06	-4.177920226741090914e+01
1.855713356279096115e+04	1.674618323550006096e+02	-7.599114346162864066e-06	-4.177694704239156209e+01
1.855715570564809241e+04	1.674357475215045383e+02	-7.601165021329512143e-06	-4.177469510057628099e+01
1.855717784850522366e+04	1.674045205963667797e+02	-7.603589782093648728e-06	-4.177244642769460370e+01
1.855720034850521188e+04	1.673675558838656343e+02	-7.606434996199735481e-06	-4.177016481972692930e+01
1.855722249136234313e+04	1.673260650404842238e+02	-7.609608195357642862e-06	-4.176792269436967331e+01
1.855724463421947439e+04	1.672795456014909519e+02	-7.613149104443973419e-06	-4.176568379538107223e+01
1.855726677707660201e+04	1.672280460217102984e+02	-7.617054969650367047e-06	-4.176344810880507197e+01
1.855728891993373327e+04	1.671716198315349686e+02	-7.621322735743640906e-06	-4.176121562076247073e+01
1.855731141993372148e+04	1.671092971965435652e+02	-7.626026598536777110e-06	-4.175895038696761219e+01
1.855733356279085274e+04	1.670431203277034626e+02	-7.631013570334468923e-06	-4.175672430569334637e+01
1.855735570564798400e+04	1.669722060976574483e+02	-7.636351577021116804e-06	-4.175450138155272128e+01
1.855737784850511525e+04	1.668966252594360640e+02	-7.642036542441948388e-06	-4.175228160097088903e+01
1.855740034850510347e+04	1.668151215163205734e+02	-7.648164202902048848e-06	-4.175002922359527702e+01
1.855742249136223472e+04	1.667303601942685134e+02	-7.654535538944831475e-06	-4.174781573986292926e+01
1.855744463421936598e+04	1.666411636049047331e+02	-7.661240502446244253e-06	-4.174560535919545856e+01
1.855746677707649724e+04	1.665476127254784444e+02	-7.668274437357166097e-06	-4.174339806831453359e+01
1.855748891993362849e+04	1.664497897781393760e+02	-7.675632628000024591e-06	-4.174119385401450444e+01
1.855751141993361671e+04	1.663460984550665387e+02	-7.683436761733133103e-06	-4.173895722576035894e+01
1.855753356279074796e+04	1.662399147266931720e+02	-7.691434299920138425e-06	-4.173675917438643523e+01
1.855755570564787922e+04	1.661297089002422069e+02	-7.699741881518169798e-06	-4.173456416019867277e+01
1.855757784850501048e+04	1.660155626683838079e+02	-7.708354923034233504e-06	-4.173237217027859458e+01
1.855760034850499869e+04	1.658956217117269318e+02	-7.717415184342317383e-06	-4.173014791028003856e+01
1.855762249136212995e+04	1.657737729322720099e+02	-7.726630685536981712e-06	-4.172796197868161272e+01
1.855764463421926121e+04	1.656482191141458600e+02	-7.736138728304494175e-06	-4.172577903281131029e+01
1.855766677707639246e+04	1.655190330208848195e+02	-7.745935445231241228e-06	-4.172359906003062946e+01
1.855768891993352372e+04	1.653862840645803374e+02	-7.756017228890319898e-06	-4.172142204776963581e+01
1.855771141993351193e+04	1.652478120977073388e+02	-7.766550205695899395e-06	-4.171921294206349984e+01
1.855773356279064319e+04	1.651080754735771450e+02	-7.777196952406044520e-06	-4.171704186065104381e+01
1.855775570564777445e+04	1.649649614524662127e+02	-7.788119732721498456e-06	-4.171487370225707281e+01
1.855777784850490571e+04	1.648185226482360690e+02	-7.799316239925403139e-06	-4.171270845458293763e+01
1.855780034850489392e+04	1.646663655236386603e+02	-7.810971730314860773e-06	-4.171051125248164482e+01
1.855782249136202518e+04	1.645133639442786659e+02	-7.822714620830247895e-06	-4.170835183607127306e+01
1.855784463421915643e+04	1.643571669050831758e+02	-7.834726582108921450e-06	-4.170619529368777734e+01
1.855786677707628769e+04	1.641978072974133624e+02	-7.847006862243400117e-06	-4.170404161329713588e+01
1.855788891993341895e+04	1.640353130535631010e+02	-7.859555108456147034e-06	-4.170189078293033447e+01
1.855791141993340716e+04	1.638670107839076024e+02	-7.872580276092666084e-06	-4.169970816883844122e+01
1.855793356279053842e+04	1.636982619621091999e+02	-7.885669309724464843e-06	-4.169756304835803462e+01
1.855795570564766967e+04	1.635264338866298033e+02	-7.899027614155035510e-06	-4.169542074219012306e+01
1.855797784850480093e+04	1.633515359902504542e+02	-7.912656372512588966e-06	-4.169328123862226221e+01
1.855800034850478914e+04	1.631706782371743429e+02	-7.926783559685473521e-06	-4.169111008570493482e+01
1.855802249136192040e+04	1.629896038698365999e+02	-7.940962579007302869e-06	-4.168897619718486425e+01
1.855804463421905166e+04	1.628054651813872624e+02	-7.955417639712737807e-06	-4.168684507631802205e+01
1.855806677707618292e+04	1.626182575807230819e+02	-7.970151185482540906e-06	-4.168471671164238046e+01
1.855808891993331417e+04	1.624279739506735325e+02	-7.985165909122010977e-06	-4.168259109175721022e+01
1.855811141993330239e+04	1.622314608875728368e+02	-8.000713822324286419e-06	-4.168043398755641959e+01
1.855813356279043364e+04	1.620349458863662164e+02	-8.016304482836243198e-06	-4.167831386710788877e+01
1.855815570564756490e+04	1.618353225356586051e+02	-8.032185639510511883e-06	-4.167619645743209844e+01
1.855817784850469616e+04	1.616325780419677187e+02	-8.048360668955692809e-06	-4.167408174737127524e+01
1.855820034850468437e+04	1.614233529577368245e+02	-8.065101173868333281e-06	-4.167193568293404837e+01
1.855822249136181563e+04	1.612142762802133689e+02	-8.081879274160757177e-06	-4.166982638196277833e+01
1.855824463421894689e+04	1.610020400005630847e+02	-8.098961821831353710e-06	-4.166771974731250339e+01
1.855826677707607814e+04	1.607866328431859131e+02	-8.116352342059432107e-06	-4.166561576806261513e+01
1.855828891993320940e+04	1.605680449265315417e+02	-8.134054317416802848e-06	-4.166351443335053517e+01
1.855831141993319761e+04	1.603426649005104139e+02	-8.152364352009633665e-06	-4.166138190387885487e+01
1.855833356279032887e+04	1.601176415473353813e+02	-8.170704532154751540e-06	-4.165928586810422019e+01
1.855835570564746013e+04	1.598894194441343188e+02	-8.189366134427362924e-06	-4.165719244445334368e+01
1.855837784850459138e+04	1.596579974664304302e+02	-8.208352205493465510e-06	-4.165510162229374913e+01
1.855840034850457960e+04	1.594195668671542023e+02	-8.227979835775155054e-06	-4.165297973107391272e+01
1.855842249136171085e+04	1.591817014952512181e+02	-8.247628671622697072e-06	-4.165089412175856864e+01
1.855844463421884211e+04	1.589406500986323465e+02	-8.267610136748218690e-06	-4.164881108220622963e+01
1.855846677707597337e+04	1.586964232829807031e+02	-8.287926560119200070e-06	-4.164673060200919963e+01
1.855848891993310463e+04	1.584490346686877160e+02	-8.308580075127033969e-06	-4.164465267081474309e+01
1.855851141993309284e+04	1.581944342863881161e+02	-8.329913998414611431e-06	-4.164254382499979812e+01
