# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.855557784850606549e+04	1.214173292530321220e+02	-1.232414107227404332e-05	-4.284668524614529161e+01
1.855560034850605371e+04	1.216504129793233915e+02	-1.228965843735127658e-05	-4.284410730450154148e+01
1.855562249136318496e+04	1.218763261658156409e+02	-1.225637935053333084e-05	-4.284157472782762710e+01
1.855564463422031622e+04	1.220987492417917792e+02	-1.222375117895650211e-05	-4.283904654004891199e+01
1.855566677707744748e+04	1.223176386757009055e+02	-1.219177345560866840e-05	-4.283652272059880062e+01
1.855568891993457873e+04	1.225329542351273346e+02	-1.216044529706505039e-05	-4.283400324903520584e+01
1.855571141993456695e+04	1.227480437806353706e+02	-1.212927588439665223e-05	-4.283144757355207588e+01
1.855573356279169820e+04	1.229560449165013267e+02	-1.209925302742142208e-05	-4.282893680623703148e+01
1.855575570564882946e+04	1.231603704393166794e+02	-1.206987471283314162e-05	-4.282643032589644605e+01
1.855577784850596072e+04	1.233609928225765771e+02	-1.204113856937088634e-05	-4.282392811257822984e+01
1.855580034850594529e+04	1.235610324495288097e+02	-1.201259397398578121e-05	-4.282138989136888085e+01
1.855582249136307655e+04	1.237541166011121874e+02	-1.198514411510906891e-05	-4.281889622074071866e+01
1.855584463422020781e+04	1.239434311767914068e+02	-1.195832756746453497e-05	-4.281640675767724957e+01
1.855586677707733907e+04	1.241289589680404362e+02	-1.193214094607984361e-05	-4.281392148270103348e+01
1.855588891993447032e+04	1.243106847739160798e+02	-1.190658070732681163e-05	-4.281144037645034217e+01
1.855591141993445854e+04	1.244914333305578396e+02	-1.188124605367240010e-05	-4.280892350266053370e+01
1.855593356279158979e+04	1.246654544639203266e+02	-1.185693746979260876e-05	-4.280645074269712325e+01
1.855595570564872105e+04	1.248356372480537573e+02	-1.183324403098958722e-05	-4.280398209375454854e+01
1.855597784850585231e+04	1.250019718433650553e+02	-1.181016196671844436e-05	-4.280151753692740613e+01
1.855600034850584052e+04	1.251670379870451058e+02	-1.178733002005654267e-05	-4.279901740148007860e+01
1.855602249136297178e+04	1.253255865216276703e+02	-1.176546932432211853e-05	-4.279656103785745813e+01
1.855604463422010303e+04	1.254802599242708112e+02	-1.174420905762153696e-05	-4.279410871000062855e+01
1.855606677707723429e+04	1.256310492740276885e+02	-1.172354585505508305e-05	-4.279166039944662714e+01
1.855608891993436555e+04	1.257779452424165072e+02	-1.170347653841522409e-05	-4.278921608784062869e+01
1.855611141993435376e+04	1.259232121608708326e+02	-1.168368880427051107e-05	-4.278673642927922316e+01
1.855613356279148502e+04	1.260622274436676378e+02	-1.166480807793317797e-05	-4.278430012469691235e+01
1.855615570564861628e+04	1.261973166189441429e+02	-1.164651305545464221e-05	-4.278186776434831273e+01
1.855617784850574753e+04	1.263284667330666622e+02	-1.162880156200570212e-05	-4.277943933030449131e+01
