# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.855557784850606549e+04	3.273342268164718689e+02	-2.521242913145296877e-06	-3.608651483134103444e+01
1.855560034850605371e+04	3.282080564948243477e+02	-2.509200600587984545e-06	-3.608407316457365965e+01
1.855562249136318496e+04	3.290624306637497511e+02	-2.497509743547373968e-06	-3.608167532515800247e+01
1.855564463422031622e+04	3.299111607943344779e+02	-2.485976944154443549e-06	-3.607928248966999263e+01
1.855566677707744748e+04	3.307541444761469620e+02	-2.474601242899256812e-06	-3.607689463219654158e+01
1.855568891993457873e+04	3.315912809557826222e+02	-2.463381669029565148e-06	-3.607451172701102138e+01
1.855571141993456695e+04	3.324358292718653161e+02	-2.452140034297620224e-06	-3.607209543431317655e+01
1.855573356279169820e+04	3.332608828556141702e+02	-2.441232170140967075e-06	-3.606972243610748308e+01
1.855575570564882946e+04	3.340798059797001542e+02	-2.430477309894807321e-06	-3.606735431370413636e+01
1.855577784850596072e+04	3.348925148180466635e+02	-2.419874316727138307e-06	-3.606499104210539031e+01
1.855580034850594529e+04	3.357118867879007666e+02	-2.409254630301706695e-06	-3.606259459645557541e+01
1.855582249136307655e+04	3.365118390455779149e+02	-2.398954091522194371e-06	-3.606024102941691467e+01
1.855584463422020781e+04	3.373053662638860146e+02	-2.388801569465392912e-06	-3.605789223884811889e+01
1.855586677707733907e+04	3.380924146545497138e+02	-2.378795630019542767e-06	-3.605554820044919495e+01
1.855588891993447032e+04	3.388729392361781834e+02	-2.368934755562253973e-06	-3.605320889008942231e+01
1.855591141993445854e+04	3.396593335283100146e+02	-2.359061778218215639e-06	-3.605083666728209124e+01
1.855593356279158979e+04	3.404266057680885069e+02	-2.349488417033555983e-06	-3.604850681657054423e+01
1.855595570564872105e+04	3.411872743060246762e+02	-2.340055037666049642e-06	-3.604618162212364041e+01
1.855597784850585231e+04	3.419413313330745723e+02	-2.330759794436965915e-06	-3.604386106047248006e+01
1.855600034850584052e+04	3.427007795920293347e+02	-2.321454148149093294e-06	-3.604150779188688603e+01
1.855602249136297178e+04	3.434415198604955890e+02	-2.312431504000842815e-06	-3.603919649984590734e+01
1.855604463422010303e+04	3.441756786710815277e+02	-2.303541015318606647e-06	-3.603688977078169842e+01
1.855606677707723429e+04	3.449032823090346938e+02	-2.294780586642166296e-06	-3.603458758186052791e+01
1.855608891993436555e+04	3.456243641853395729e+02	-2.286148081312860348e-06	-3.603228991040295170e+01
1.855611141993435376e+04	3.463504370159826067e+02	-2.277505144495232454e-06	-3.602995978387475873e+01
1.855613356279148502e+04	3.470584968408595614e+02	-2.269123937681495942e-06	-3.602767115187037916e+01
1.855615570564861628e+04	3.477601707830525015e+02	-2.260864066603870662e-06	-3.602538696984365885e+01
1.855617784850574753e+04	3.484555124583963561e+02	-2.252723337757825449e-06	-3.602310721571900132e+01
1.855620034850573575e+04	3.491556409021714558e+02	-2.244571103857564497e-06	-3.602079520438883975e+01
1.855622249136286700e+04	3.498383882728163599e+02	-2.236663986283756168e-06	-3.601852431096220641e+01
1.855624463421999826e+04	3.505149762207789195e+02	-2.228869536377090582e-06	-3.601625777973779208e+01
1.855626677707712952e+04	3.511854620188311173e+02	-2.221185694680892090e-06	-3.601399558922071975e+01
1.855628891993426078e+04	3.518499010368060453e+02	-2.213610464661484579e-06	-3.601173771805727597e+01
1.855631141993424899e+04	3.525189168483304343e+02	-2.206022327416312380e-06	-3.600944783218676548e+01
1.855633356279138025e+04	3.531713197048871393e+02	-2.198660313901873824e-06	-3.600719860504019465e+01
1.855635570564851150e+04	3.538178200908380404e+02	-2.191401379670865256e-06	-3.600495363368291635e+01
1.855637784850564276e+04	3.544584548130181929e+02	-2.184243885028907581e-06	-3.600271289731472280e+01
1.855640034850563097e+04	3.551034445668311719e+02	-2.177073279869860944e-06	-3.600044033675514044e+01
1.855642249136276223e+04	3.557323354445803147e+02	-2.170115773112829155e-06	-3.599820807597576788e+01
1.855644463421989349e+04	3.563554252276754255e+02	-2.163255457964361616e-06	-3.599597998825945666e+01
1.855646677707702474e+04	3.569727173607119539e+02	-2.156491176226370601e-06	-3.599375605333906947e+01
1.855648891993415600e+04	3.575842053140726762e+02	-2.149821900743566576e-06	-3.599153625107719279e+01
1.855651141993414421e+04	3.581995931143354142e+02	-2.143141453180587201e-06	-3.598928485812755440e+01
1.855653356279127547e+04	3.587993164697634825e+02	-2.136661141590024284e-06	-3.598707332713369311e+01
1.855655570564840673e+04	3.593931515991321817e+02	-2.130273545139813189e-06	-3.598486586883515059e+01
1.855657784850553799e+04	3.599810486100010394e+02	-2.123978169624346523e-06	-3.598266246360383036e+01
1.855660034850552620e+04	3.605722825257618069e+02	-2.117675343179166621e-06	-3.598042765114546881e+01
1.855662249136265746e+04	3.611480112530067572e+02	-2.111564910475939144e-06	-3.597823235824569821e+01
1.855664463421978871e+04	3.617175856257892406e+02	-2.105545963788194622e-06	-3.597604105995869617e+01
1.855666677707691997e+04	3.622809131613638556e+02	-2.099618491397040377e-06	-3.597385373714764256e+01
1.855668891993405123e+04	3.628378918323410289e+02	-2.093782585137620413e-06	-3.597167037079555030e+01
1.855671141993403944e+04	3.633972364779643840e+02	-2.087946537454949962e-06	-3.596945582208973491e+01
1.855673356279117070e+04	3.639410694105513926e+02	-2.082295896408621287e-06	-3.596728037513067733e+01
1.855675570564830196e+04	3.644781950973112430e+02	-2.076737634735598451e-06	-3.596510882798698816e+01
1.855677784850543321e+04	3.650084807838190954e+02	-2.071272166059174158e-06	-3.596294116211199565e+01
1.855680034850542143e+04	3.655401708956429729e+02	-2.065814075925400971e-06	-3.596074249057792116e+01
1.855682249136255268e+04	3.660562421500730466e+02	-2.060537153237250536e-06	-3.595858259391653178e+01
1.855684463421968394e+04	3.665650453146764676e+02	-2.055354547910327718e-06	-3.595642652327481414e+01
1.855686677707681520e+04	3.670664330548961516e+02	-2.050266817981937234e-06	-3.595427426056055964e+01
1.855688891993394645e+04	3.675602573136714568e+02	-2.045274528081813282e-06	-3.595212578779234036e+01
1.855691141993393467e+04	3.680541470501598269e+02	-2.040300055177660992e-06	-3.594994652596469109e+01
1.855693356279106592e+04	3.685322753686238570e+02	-2.035501869697415733e-06	-3.594780563999155731e+01
1.855695570564819718e+04	3.690024013754561452e+02	-2.030800752058027555e-06	-3.594566849039215839e+01
1.855697784850532844e+04	3.694643860727023821e+02	-2.026197180906634116e-06	-3.594353505962095596e+01
1.855700034850531665e+04	3.699253449396790643e+02	-2.021619722095562698e-06	-3.594137101000065826e+01
