# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.855557784850606549e+04	-4.424016807908413540e+01	-4.243036804143395478e-03	-5.290397596380623924e+01
1.855560034850605371e+04	-4.421531977978812478e+01	-4.222201471183931361e-03	-5.290096846952470599e+01
1.855562249136318496e+04	-4.419095956054663077e+01	-4.201929991925596429e-03	-5.289801358385790309e+01
1.855564463422031622e+04	-4.416670051260984309e+01	-4.181894291973997299e-03	-5.289506350742270513e+01
1.855566677707744748e+04	-4.414255190715692123e+01	-4.162099681583890723e-03	-5.289211821806095060e+01
1.855568891993457873e+04	-4.411852396314463931e+01	-4.142552166581881835e-03	-5.288917769374852895e+01
1.855571141993456695e+04	-4.409424345009000490e+01	-4.122949243484899662e-03	-5.288619460003349104e+01
1.855573356279169820e+04	-4.407049309312565555e+01	-4.103920325753933861e-03	-5.288326361625190941e+01
1.855575570564882946e+04	-4.404689871797369705e+01	-4.085159489715824849e-03	-5.288033733189278962e+01
1.855577784850596072e+04	-4.402347306669777538e+01	-4.066674187554369761e-03	-5.287741572545937885e+01
1.855580034850594529e+04	-4.399985580738761115e+01	-4.048180662948298869e-03	-5.287445176604655472e+01
1.855582249136307655e+04	-4.397680999133797997e+01	-4.030273461668594862e-03	-5.287153952607815910e+01
1.855584463422020781e+04	-4.395397231212176337e+01	-4.012663833063681053e-03	-5.286863189997400525e+01
1.855586677707733907e+04	-4.393135563722247383e+01	-3.995358503799434531e-03	-5.286572886674811400e+01
1.855588891993447032e+04	-4.390897247361689892e+01	-3.978363709157073727e-03	-5.286283040553914958e+01
1.855591141993445854e+04	-4.388647983237682126e+01	-3.961418692154296955e-03	-5.285988985682506325e+01
1.855593356279158979e+04	-4.386460324878908779e+01	-3.945066382039210708e-03	-5.285700055046675061e+01
1.855595570564872105e+04	-4.384299420997783869e+01	-3.929039371341943795e-03	-5.285411575395006167e+01
1.855597784850585231e+04	-4.382166231260499956e+01	-3.913340911150703892e-03	-5.285123544690470965e+01
1.855600034850584052e+04	-4.380027903409622070e+01	-3.897728164847113000e-03	-5.284831326111147831e+01
