# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.855557784850606549e+04	4.114917353594063343e+02	-1.748741153114391562e-06	-2.492933981111739783e+01
1.855560034850605371e+04	4.132680621827331038e+02	-1.734612675280480146e-06	-2.492735734675300918e+01
1.855562249136318496e+04	4.150111420950861429e+02	-1.720914415998529869e-06	-2.492541152659630654e+01
1.855564463422031622e+04	4.167491146393894041e+02	-1.707417201535764204e-06	-2.492347080904330525e+01
1.855566677707744748e+04	4.184818766088417306e+02	-1.694117903787278845e-06	-2.492153516209021902e+01
1.855568891993457873e+04	4.202093180063974955e+02	-1.681013505827135136e-06	-2.491960455405261143e+01
1.855571141993456695e+04	4.219590515580487704e+02	-1.667894387236507924e-06	-2.491764793635159236e+01
1.855573356279169820e+04	4.236754063828365702e+02	-1.655174173183342890e-06	-2.491572739235838441e+01
1.855575570564882946e+04	4.253860728969009983e+02	-1.642640355019913865e-06	-2.491381179360210751e+01
1.855577784850596072e+04	4.270909193718728147e+02	-1.630290284106071388e-06	-2.491190110963283644e+01
1.855580034850594529e+04	4.288171623424160543e+02	-1.617926581588866802e-06	-2.490996461146003682e+01
1.855582249136307655e+04	4.305098603719301877e+02	-1.605939199341018799e-06	-2.490806374495291564e+01
1.855584463422020781e+04	4.321963223921519557e+02	-1.594127977726842005e-06	-2.490616770316480455e+01
1.855586677707733907e+04	4.338764072258526880e+02	-1.582490508649458245e-06	-2.490427645680668434e+01
1.855588891993447032e+04	4.355499736094948275e+02	-1.571024425048104754e-06	-2.490238997686790157e+01
1.855591141993445854e+04	4.372437114107501088e+02	-1.559546556396444625e-06	-2.490047792259663595e+01
1.855593356279158979e+04	4.389037107274271534e+02	-1.548418943265522881e-06	-2.489860096528046185e+01
1.855595570564872105e+04	4.405567745674406979e+02	-1.537455756924188240e-06	-2.489672868852787246e+01
1.855597784850585231e+04	4.422027707922656532e+02	-1.526654729868007949e-06	-2.489486106440514135e+01
1.855600034850584052e+04	4.438679444434331458e+02	-1.515843272436757303e-06	-2.489296805461146889e+01
1.855602249136297178e+04	4.454993090597555465e+02	-1.505362325144295495e-06	-2.489110972690749080e+01
1.855604463422010303e+04	4.471232384062828942e+02	-1.495036746922552685e-06	-2.488925596913136928e+01
1.855606677707723429e+04	4.487396234416159473e+02	-1.484864289854096690e-06	-2.488740675436467953e+01
1.855608891993436555e+04	4.503483626622612519e+02	-1.474842702872756647e-06	-2.488556205593273418e+01
1.855611141993435376e+04	4.519751213477892975e+02	-1.464811693697423529e-06	-2.488369220326669051e+01
1.855613356279148502e+04	4.535681704685007389e+02	-1.455087413929543301e-06	-2.488185653021984223e+01
1.855615570564861628e+04	4.551533185319373160e+02	-1.445507179182368591e-06	-2.488002529449507350e+01
1.855617784850574753e+04	4.567304990659965824e+02	-1.436068712477427269e-06	-2.487819847036240972e+01
1.855620034850573575e+04	4.583248979606602802e+02	-1.426620876980517664e-06	-2.487634667395958132e+01
1.855622249136286700e+04	4.598858512745983944e+02	-1.417461283780438407e-06	-2.487452866685577746e+01
1.855624463421999826e+04	4.614386938735138415e+02	-1.408436555326483848e-06	-2.487271499510126205e+01
1.855626677707712952e+04	4.629833971839587434e+02	-1.399544396309188422e-06	-2.487090563385884678e+01
1.855628891993426078e+04	4.645199417324492401e+02	-1.390782512015190448e-06	-2.486910055850605161e+01
1.855631141993424899e+04	4.660729010469981972e+02	-1.382010390969607360e-06	-2.486727073403462995e+01
1.855633356279138025e+04	4.675929724748787635e+02	-1.373504198087686801e-06	-2.486547422558382792e+01
1.855635570564851150e+04	4.691048775903130945e+02	-1.365121393763793175e-06	-2.486368193002901350e+01
1.855637784850564276e+04	4.706086290892661168e+02	-1.356859718451068839e-06	-2.486189382358096367e+01
1.855640034850563097e+04	4.721283024712498104e+02	-1.348586557588654161e-06	-2.486008114341587216e+01
1.855642249136276223e+04	4.736156793990069218e+02	-1.340562302671983180e-06	-2.485830141123118864e+01
1.855644463421989349e+04	4.750949770546161517e+02	-1.332652489421322329e-06	-2.485652579760581204e+01
1.855646677707702474e+04	4.765662292783925409e+02	-1.324854957147587223e-06	-2.485475427953999628e+01
1.855648891993415600e+04	4.780294729893323620e+02	-1.317167580375784676e-06	-2.485298683422412935e+01
1.855651141993414421e+04	4.795081543168216172e+02	-1.309466900355138591e-06	-2.485119503024371568e+01
1.855653356279127547e+04	4.809553717569517630e+02	-1.301995313155903432e-06	-2.484943572752700192e+01
1.855655570564840673e+04	4.823947010012414012e+02	-1.294627725099106189e-06	-2.484768042989021097e+01
1.855657784850553799e+04	4.838261816552625874e+02	-1.287362192078443740e-06	-2.484592911526281256e+01
1.855660034850552620e+04	4.852727501871313507e+02	-1.280082064211547095e-06	-2.484415361097121533e+01
1.855662249136265746e+04	4.866885194171075000e+02	-1.273016599368910481e-06	-2.484241026022313292e+01
1.855664463421978871e+04	4.880965451949074918e+02	-1.266047664876975914e-06	-2.484067082698675222e+01
1.855666677707691997e+04	4.894968546616303229e+02	-1.259173550133452508e-06	-2.483893528989347743e+01
1.855668891993405123e+04	4.908894697627475239e+02	-1.252392608214886691e-06	-2.483720362774407064e+01
1.855671141993403944e+04	4.922966813662299046e+02	-1.245596106611698865e-06	-2.483544798309777590e+01
1.855673356279117070e+04	4.936738256513808665e+02	-1.238998271512382610e-06	-2.483372406955830058e+01
1.855675570564830196e+04	4.950433034724853201e+02	-1.232489039279603248e-06	-2.483200396802733323e+01
1.855677784850543321e+04	4.964051095369815698e+02	-1.226067028092628809e-06	-2.483028765796477799e+01
1.855680034850542143e+04	4.977810081977665959e+02	-1.219629423917145300e-06	-2.482854752818420607e+01
1.855682249136255268e+04	4.991272983448617993e+02	-1.213379328209992465e-06	-2.482683880040568170e+01
1.855684463421968394e+04	5.004658517293538580e+02	-1.207212681818612033e-06	-2.482513380309993423e+01
1.855686677707681520e+04	5.017966299873975800e+02	-1.201128361073411809e-06	-2.482343251635442627e+01
1.855688891993394645e+04	5.031195863697942627e+02	-1.195125302213569286e-06	-2.482173492040819696e+01
1.855691141993393467e+04	5.044558119658770465e+02	-1.189107622120101107e-06	-2.482001370425951592e+01
1.855693356279106592e+04	5.057628230275789747e+02	-1.183265393977202745e-06	-2.481832348996651660e+01
1.855695570564819718e+04	5.070618224355235952e+02	-1.177501554799601089e-06	-2.481663690777132913e+01
1.855697784850532844e+04	5.083527322598206979e+02	-1.171815252653284539e-06	-2.481495393850405762e+01
1.855700034850531665e+04	5.096560897159804426e+02	-1.166115827223143278e-06	-2.481324750578459515e+01
1.855702249136244791e+04	5.109304264621958964e+02	-1.160583435014017866e-06	-2.481157176294093247e+01
1.855704463421957917e+04	5.121964007798412695e+02	-1.155126261500946333e-06	-2.480989957606507801e+01
1.855706677707671042e+04	5.134539119638692455e+02	-1.149743607806785415e-06	-2.480823092655116469e+01
1.855708891993384168e+04	5.147028555054631624e+02	-1.144434802823234538e-06	-2.480656579592977096e+01
1.855711141993382989e+04	5.159630565813366729e+02	-1.139115350135615076e-06	-2.480487739396670221e+01
1.855713356279096115e+04	5.171943977869240143e+02	-1.133953484710151680e-06	-2.480321930227884053e+01
1.855715570564809241e+04	5.184168418705427257e+02	-1.128863569455347113e-06	-2.480156467458832736e+01
1.855717784850522366e+04	5.196302779000916416e+02	-1.123845002757744157e-06	-2.479991349295849190e+01
1.855720034850521188e+04	5.208539447959487916e+02	-1.118817963428534540e-06	-2.479823919090988937e+01
1.855722249136234313e+04	5.220488859112222144e+02	-1.113941441398226737e-06	-2.479659490297103019e+01
1.855724463421947439e+04	5.232344922778455611e+02	-1.109134482959324355e-06	-2.479495400776906422e+01
1.855726677707660201e+04	5.244106611684625250e+02	-1.104396494627007620e-06	-2.479331648787692899e+01
1.855728891993373327e+04	5.255772940310640706e+02	-1.099726877027901280e-06	-2.479168232599094779e+01
1.855731141993372148e+04	5.267528791857972692e+02	-1.095051350770835374e-06	-2.479002522864661984e+01
1.855733356279085274e+04	5.279000073430205475e+02	-1.090517718310363970e-06	-2.478839778481907530e+01
1.855735570564798400e+04	5.290373348645778151e+02	-1.086050588879797640e-06	-2.478677364754197754e+01
1.855737784850511525e+04	5.301647869259879826e+02	-1.081649317093598211e-06	-2.478515279999429310e+01
1.855740034850510347e+04	5.313002384861682685e+02	-1.077243836208320363e-06	-2.478350916228999168e+01
1.855742249136223472e+04	5.324075827885508261e+02	-1.072973316911174428e-06	-2.478189489659280298e+01
1.855744463421936598e+04	5.335048713336042283e+02	-1.068766613797916845e-06	-2.478028387059446658e+01
1.855746677707649724e+04	5.345920602904856196e+02	-1.064623017313442953e-06	-2.477867606793655497e+01
1.855748891993362849e+04	5.356691139673145017e+02	-1.060541801933693273e-06	-2.477707147237288154e+01
1.855751141993361671e+04	5.367531292929098754e+02	-1.056457896021081078e-06	-2.477544426472201522e+01
1.855753356279074796e+04	5.378096732596562788e+02	-1.052500182171422640e-06	-2.477384608612935679e+01
1.855755570564787922e+04	5.388560227124502262e+02	-1.048602573572867145e-06	-2.477225106629853002e+01
1.855757784850501048e+04	5.398921732668904951e+02	-1.044764291293046395e-06	-2.477065918942269107e+01
1.855760034850499869e+04	5.409345916307496509e+02	-1.040924059036555176e-06	-2.476904484034830389e+01
1.855762249136212995e+04	5.419501943388114569e+02	-1.037202983303060889e-06	-2.476745925244826552e+01
1.855764463421926121e+04	5.429556248633969062e+02	-1.033538838776225859e-06	-2.476587676046934661e+01
1.855766677707639246e+04	5.439509032934522565e+02	-1.029930824305318621e-06	-2.476429734902665913e+01
1.855768891993352372e+04	5.449360541275552805e+02	-1.026378139707582137e-06	-2.476272100283777888e+01
1.855771141993351193e+04	5.459267495152605534e+02	-1.022824009361844356e-06	-2.476112235588890087e+01
1.855773356279064319e+04	5.468915701163182348e+02	-1.019380462650675035e-06	-2.475955214359386858e+01
1.855775570564777445e+04	5.478463553961322532e+02	-1.015989867572500756e-06	-2.475798495106965547e+01
