# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.855557784850606549e+04	2.717379366687314928e+02	-3.458245624051476411e-06	-3.853609185321207065e+01
1.855560034850605371e+04	2.723577658978840645e+02	-3.444531935765289740e-06	-3.853358897482713274e+01
1.855562249136318496e+04	2.729626073147712759e+02	-3.431228685877787491e-06	-3.853113070948582930e+01
1.855564463422031622e+04	2.735623768141944652e+02	-3.418113291729133981e-06	-3.852867726554321592e+01
1.855566677707744748e+04	2.741571150818633100e+02	-3.405182375196228035e-06	-3.852622861895512330e+01
1.855568891993457873e+04	2.747468667199293577e+02	-3.392432543512741135e-06	-3.852378474583860424e+01
1.855571141993456695e+04	2.753410716484042382e+02	-3.379659069411719085e-06	-3.852130632056346116e+01
1.855573356279169820e+04	2.759209167066623536e+02	-3.367264050146286579e-06	-3.851887199941589301e+01
1.855575570564882946e+04	2.764959244256689317e+02	-3.355039987766915023e-06	-3.851644238066771919e+01
1.855577784850596072e+04	2.770661460214569729e+02	-3.342983624519034161e-06	-3.851401744106854608e+01
1.855580034850594529e+04	2.776407141261751690e+02	-3.330901312036374820e-06	-3.851155815871808841e+01
1.855582249136307655e+04	2.782014377625711177e+02	-3.319173500392803409e-06	-3.850914258281915892e+01
1.855584463422020781e+04	2.787575209349403167e+02	-3.307604134510007708e-06	-3.850673161686761148e+01
1.855586677707733907e+04	2.793090057168370777e+02	-3.296190395895988362e-06	-3.850432523822126996e+01
1.855588891993447032e+04	2.798559295025119127e+02	-3.284929617447434839e-06	-3.850192342438590032e+01
1.855591141993445854e+04	2.804070354566865149e+02	-3.273641318943177586e-06	-3.849948752444743860e+01
1.855593356279158979e+04	2.809448538744789516e+02	-3.262681506288653741e-06	-3.849709484606179188e+01
1.855595570564872105e+04	2.814781870736662199e+02	-3.251867663133495629e-06	-3.849470666552298326e+01
1.855597784850585231e+04	2.820070453591753221e+02	-3.241197858060410864e-06	-3.849232296091674499e+01
1.855600034850584052e+04	2.825398517265419400e+02	-3.230501725181483201e-06	-3.848990537184332794e+01
1.855602249136297178e+04	2.830596844050765526e+02	-3.220117291945975744e-06	-3.848753062523836377e+01
1.855604463422010303e+04	2.835750200826748255e+02	-3.209872339873104301e-06	-3.848516028931905453e+01
1.855606677707723429e+04	2.840858324426426407e+02	-3.199765789517641464e-06	-3.848279434273006672e+01
1.855608891993436555e+04	2.845920852932914613e+02	-3.189796776422907980e-06	-3.848043276425206471e+01
1.855611141993435376e+04	2.851017855312108509e+02	-3.179807184346542612e-06	-3.847803754844488822e+01
1.855613356279148502e+04	2.855986952802541623e+02	-3.170113693191883831e-06	-3.847568471267325663e+01
1.855615570564861628e+04	2.860908762819421440e+02	-3.160556392931336510e-06	-3.847333618182383930e+01
1.855617784850574753e+04	2.865782529841239921e+02	-3.151135231610596191e-06	-3.847099193521147242e+01
