# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.855557784850606549e+04	-5.926491292290539548e+01	-1.939397597291191655e+00	-5.947961612086172778e+01
1.855560034850605371e+04	-5.925702275957892340e+01	-1.902700874611458648e+00	-5.947570428084905814e+01
1.855562249136318496e+04	-5.924928793912619085e+01	-1.867774400536397428e+00	-5.947186425797598019e+01
1.855564463422031622e+04	-5.924158242783874329e+01	-1.833970814997482712e+00	-5.946803380112377369e+01
1.855566677707744748e+04	-5.923390515622653396e+01	-1.801233883550888093e+00	-5.946421283127392599e+01
1.855568891993457873e+04	-5.922625454926669875e+01	-1.769506670122509950e+00	-5.946040127055412228e+01
1.855571141993456695e+04	-5.921850573312261901e+01	-1.738243096009529420e+00	-5.945653779200819855e+01
1.855573356279169820e+04	-5.921090213931471880e+01	-1.708377835038808579e+00	-5.945274496908812267e+01
1.855575570564882946e+04	-5.920331761367021528e+01	-1.679350619586705395e+00	-5.944896132713349601e+01
1.855577784850596072e+04	-5.919574879285910640e+01	-1.651105880241759527e+00	-5.944518679264616168e+01
1.855580034850594529e+04	-5.918807014635289931e+01	-1.623151191473075405e+00	-5.944136063294374850e+01
1.855582249136307655e+04	-5.918052134582261914e+01	-1.596320642960793457e+00	-5.943760424101018458e+01
1.855584463422020781e+04	-5.917297611127487755e+01	-1.570114084997912718e+00	-5.943385674105100236e+01
1.855586677707733907e+04	-5.916542991374701899e+01	-1.544483041391255806e+00	-5.943011806360404847e+01
1.855588891993447032e+04	-5.915787805858121118e+01	-1.519381522408353113e+00	-5.942638814016343218e+01
1.855591141993445854e+04	-5.915019365420287301e+01	-1.494372997411097970e+00	-5.942260695402317339e+01
1.855593356279158979e+04	-5.914261572180719639e+01	-1.470210526385300920e+00	-5.941889447529930379e+01
1.855595570564872105e+04	-5.913501752204685147e+01	-1.446456151978616322e+00	-5.941519054956732759e+01
1.855597784850585231e+04	-5.912739424832083301e+01	-1.423075925278543652e+00	-5.941149511198115363e+01
1.855600034850584052e+04	-5.911961749919180420e+01	-1.399670345959978190e+00	-5.940774869928846158e+01
1.855602249136297178e+04	-5.911192956363736073e+01	-1.376954923516825025e+00	-5.940407018125524985e+01
1.855604463422010303e+04	-5.910420293999261077e+01	-1.354531766035805163e+00	-5.940039996097645769e+01
1.855606677707723429e+04	-5.909643357747433612e+01	-1.332380628023760449e+00	-5.939673797699560964e+01
1.855608891993436555e+04	-5.908861773327912914e+01	-1.310484657225653438e+00	-5.939308416866130358e+01
1.855611141993435376e+04	-5.908062472103392082e+01	-1.288482966976508104e+00	-5.938937974079836835e+01
1.855613356279148502e+04	-5.907270524086876406e+01	-1.267063559209921753e+00	-5.938574223441485600e+01
