# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.855557784850606549e+04	3.970229213642906529e+02	-1.825404253750301569e-06	-3.012607092859686375e+01
1.855560034850605371e+04	3.984349003018829194e+02	-1.813418549310150351e-06	-3.012384043921634103e+01
1.855562249136318496e+04	3.998168922801970098e+02	-1.801801390883208679e-06	-3.012165062789885184e+01
1.855564463422031622e+04	4.011913608818154557e+02	-1.790357896579274811e-06	-3.011946601773667354e+01
1.855566677707744748e+04	4.025583075442357881e+02	-1.779084865005075936e-06	-3.011728657902429518e+01
1.855568891993457873e+04	4.039177439676619201e+02	-1.767979088242795860e-06	-3.011511228231170634e+01
1.855571141993456695e+04	4.052914359366958479e+02	-1.756862205249253078e-06	-3.011290815330112025e+01
1.855573356279169820e+04	4.066358050638190207e+02	-1.746083888177033589e-06	-3.011074413500426061e+01
1.855575570564882946e+04	4.079727550659214330e+02	-1.735463176696496965e-06	-3.010858517139451607e+01
1.855577784850596072e+04	4.093023320542134229e+02	-1.724996904116640454e-06	-3.010643123401357002e+01
1.855580034850594529e+04	4.106458555822482026e+02	-1.714516784649857610e-06	-3.010424767513152133e+01
1.855582249136307655e+04	4.119607328233933572e+02	-1.704352377401241709e-06	-3.010210378571845879e+01
1.855584463422020781e+04	4.132684106953182095e+02	-1.694333062940695199e-06	-3.009996483813313262e+01
1.855586677707733907e+04	4.145689546360529789e+02	-1.684455836148234809e-06	-3.009783080485703266e+01
1.855588891993447032e+04	4.158624321078171420e+02	-1.674717750952076515e-06	-3.009570165859801349e+01
1.855591141993445854e+04	4.171696041268245949e+02	-1.664962160313570434e-06	-3.009354314928203422e+01
1.855593356279158979e+04	4.184490420870108665e+02	-1.655495921141901518e-06	-3.009142377380601729e+01
1.855595570564872105e+04	4.197216175066412234e+02	-1.646160365006415128e-06	-3.008930920437203227e+01
1.855597784850585231e+04	4.209873942748293416e+02	-1.636952849967333346e-06	-3.008719941456809721e+01
1.855600034850584052e+04	4.222666847278447335e+02	-1.627725354443375968e-06	-3.008506046480384555e+01
1.855602249136297178e+04	4.235189325864979537e+02	-1.618768324962665588e-06	-3.008296023190727198e+01
1.855604463422010303e+04	4.247645478017636265e+02	-1.609931930655733551e-06	-3.008086470025303072e+01
1.855606677707723429e+04	4.260035732820966814e+02	-1.601213915255549195e-06	-3.007877384426520706e+01
1.855608891993436555e+04	4.272360444520379588e+02	-1.592612126139545450e-06	-3.007668763856970173e+01
1.855611141993435376e+04	4.284817084442971691e+02	-1.583988543700592008e-06	-3.007457252187439423e+01
1.855613356279148502e+04	4.297010389238997732e+02	-1.575614965511505379e-06	-3.007249561542765193e+01
1.855615570564861628e+04	4.309138697901964861e+02	-1.567351759859276640e-06	-3.007042328393818664e+01
1.855617784850574753e+04	4.321202001746548831e+02	-1.559197197389264508e-06	-3.006835550281731173e+01
1.855620034850573575e+04	4.333393176441264814e+02	-1.551020721197806277e-06	-3.006625900631192394e+01
1.855622249136286700e+04	4.345324986210361544e+02	-1.543080356693057172e-06	-3.006420032532997055e+01
1.855624463421999826e+04	4.357191152970137864e+02	-1.535244033456447520e-06	-3.006214612169323175e+01
1.855626677707712952e+04	4.368991261341355994e+02	-1.527510418715287645e-06	-3.006009637156095238e+01
1.855628891993426078e+04	4.380724797137133919e+02	-1.519878268849808031e-06	-3.005805105127310384e+01
1.855631141993424899e+04	4.392578763507007125e+02	-1.512225758874440128e-06	-3.005597725536150477e+01
1.855633356279138025e+04	4.404176133507029931e+02	-1.504794730628834212e-06	-3.005394079499921745e+01
1.855635570564851150e+04	4.415704822072559637e+02	-1.497461902474734790e-06	-3.005190869419283928e+01
1.855637784850564276e+04	4.427163963964436562e+02	-1.490226332965277006e-06	-3.004988092998707572e+01
1.855640034850563097e+04	4.438735728263595774e+02	-1.482972776754608056e-06	-3.004782487852555661e+01
1.855642249136276223e+04	4.450051745209159435e+02	-1.475930664758822494e-06	-3.004580578836320015e+01
1.855644463421989349e+04	4.461295212595479143e+02	-1.468983302260641596e-06	-3.004379096658935211e+01
1.855646677707702474e+04	4.472465035209856978e+02	-1.462129943110887871e-06	-3.004178039092141006e+01
1.855648891993415600e+04	4.483560085035181260e+02	-1.455369871881060746e-06	-3.003977403923942546e+01
1.855651141993414421e+04	4.494756311222196246e+02	-1.448595611900146626e-06	-3.003773963116170265e+01
1.855653356279127547e+04	4.505697100931243995e+02	-1.442021534920271331e-06	-3.003574172897915062e+01
1.855655570564840673e+04	4.516559625965593341e+02	-1.435538703123500748e-06	-3.003374798503351784e+01
1.855657784850553799e+04	4.527342735621513725e+02	-1.429146454936997756e-06	-3.003175837784045754e+01
1.855660034850552620e+04	4.538217256719011061e+02	-1.422743208895724620e-06	-3.002974089561613269e+01
1.855662249136265746e+04	4.548836854890421364e+02	-1.416531561092368245e-06	-3.002775956395270640e+01
1.855664463421978871e+04	4.559373740058262001e+02	-1.410408463353986687e-06	-3.002578230516765245e+01
1.855666677707691997e+04	4.569826909715005172e+02	-1.404373211531945343e-06	-3.002380909838471723e+01
1.855668891993405123e+04	4.580195421754983158e+02	-1.398425079293463510e-06	-3.002183992287489644e+01
1.855671141993403944e+04	4.590643551550015786e+02	-1.392469473534529163e-06	-3.001984309460143763e+01
1.855673356279117070e+04	4.600838803974799589e+02	-1.386694669796532030e-06	-3.001788198422461917e+01
1.855675570564830196e+04	4.610946998934960561e+02	-1.381004628458990264e-06	-3.001592484347617429e+01
1.855677784850543321e+04	4.620967507488643378e+02	-1.375398505354487918e-06	-3.001397165220323515e+01
1.855680034850542143e+04	4.631059263729563895e+02	-1.369787016586692409e-06	-3.001199098277665556e+01
1.855682249136255268e+04	4.640901443906853387e+02	-1.364347381133580736e-06	-3.001004569344911133e+01
1.855684463421968394e+04	4.650654598409294067e+02	-1.358988915903470279e-06	-3.000810429365354537e+01
1.855686677707681520e+04	4.660318473159090331e+02	-1.353710644140287843e-06	-3.000616676378939118e+01
1.855688891993394645e+04	4.669892908130561864e+02	-1.348511558591655144e-06	-3.000423308439007641e+01
1.855691141993393467e+04	4.679530084405352000e+02	-1.343308662576674211e-06	-3.000227214082531546e+01
1.855693356279106592e+04	4.688924081281859912e+02	-1.338266051761071121e-06	-3.000034616581129399e+01
1.855695570564819718e+04	4.698228697519504067e+02	-1.333299429331327050e-06	-2.999842398334635618e+01
1.855697784850532844e+04	4.707444117316454140e+02	-1.328407692832488346e-06	-2.999650557448862642e+01
1.855700034850531665e+04	4.716717070772599527e+02	-1.323512614406113259e-06	-2.999456006957227316e+01
1.855702249136244791e+04	4.725753503384287910e+02	-1.318768450953876927e-06	-2.999264921171879550e+01
1.855704463421957917e+04	4.734701698144746729e+02	-1.314095778366339611e-06	-2.999074207110770374e+01
1.855706677707671042e+04	4.743562078338148922e+02	-1.309493463532779724e-06	-2.998883862930112087e+01
1.855708891993384168e+04	4.752335103929262345e+02	-1.304960377969258688e-06	-2.998693886798359998e+01
1.855711141993382989e+04	4.761160651459948667e+02	-1.300423939304331092e-06	-2.998501221662999683e+01
1.855713356279096115e+04	4.769759053638231876e+02	-1.296027043061995730e-06	-2.998311982045848012e+01
1.855715570564809241e+04	4.778271604361165714e+02	-1.291696052965803409e-06	-2.998123105026398605e+01
1.855717784850522366e+04	4.786698803731406429e+02	-1.287429911240803555e-06	-2.997934588821103929e+01
1.855720034850521188e+04	4.795174995017069932e+02	-1.283160328478366445e-06	-2.997743399797627006e+01
1.855722249136234313e+04	4.803431552525259463e+02	-1.279021841379659949e-06	-2.997555605664810230e+01
1.855724463421947439e+04	4.811604116119083869e+02	-1.274945214447783300e-06	-2.997368167036959008e+01
1.855726677707660201e+04	4.819693050266585033e+02	-1.270929538799180857e-06	-2.997181082176720324e+01
1.855728891993373327e+04	4.827698660221275873e+02	-1.266973952859616321e-06	-2.996994349357980525e+01
1.855731141993372148e+04	4.835748285780846345e+02	-1.263015283534312067e-06	-2.996804963557907442e+01
1.855733356279085274e+04	4.843586545385055615e+02	-1.259178435638987220e-06	-2.996618935297282604e+01
1.855735570564798400e+04	4.851341955801799486e+02	-1.255399396587675917e-06	-2.996433253938972285e+01
1.855737784850511525e+04	4.859014502217420386e+02	-1.251677523441023702e-06	-2.996247917800949168e+01
