# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.855557784850606549e+04	1.393658334459381081e+02	-1.006834973012991749e-05	-4.239190029806866988e+01
1.855560034850605371e+04	1.396356814985540211e+02	-1.003882894503705917e-05	-4.238933005653848340e+01
1.855562249136318496e+04	1.398976779818920875e+02	-1.001029417376162454e-05	-4.238680510186026851e+01
1.855564463422031622e+04	1.401560620312195056e+02	-9.982274942035810082e-06	-4.238428457950054451e+01
1.855566677707744748e+04	1.404107641503604782e+02	-9.954773177115478085e-06	-4.238176846856755731e+01
1.855568891993457873e+04	1.406617179702419662e+02	-9.927790474202018218e-06	-4.237925674829713074e+01
1.855571141993456695e+04	1.409128151277190852e+02	-9.900905533570238671e-06	-4.237670899261600965e+01
1.855573356279169820e+04	1.411560241777951319e+02	-9.874972732604460584e-06	-4.237420606186914540e+01
1.855575570564882946e+04	1.413953062445346234e+02	-9.849561623879160820e-06	-4.237170745991936371e+01
1.855577784850596072e+04	1.416306098507149329e+02	-9.824672322870361407e-06	-4.236921316650434477e+01
1.855580034850594529e+04	1.418655846476617057e+02	-9.799915805509642385e-06	-4.236668303514412059e+01
1.855582249136307655e+04	1.420927273022394104e+02	-9.776077336530641828e-06	-4.236419736718166007e+01
1.855584463422020781e+04	1.423157611131517513e+02	-9.752758729837176591e-06	-4.236171594737757573e+01
1.855586677707733907e+04	1.425346511427696043e+02	-9.729958606852714839e-06	-4.235923875595525345e+01
1.855588891993447032e+04	1.427493664921315997e+02	-9.707675247470796081e-06	-4.235676577325661896e+01
1.855591141993445854e+04	1.429632410014311859e+02	-9.685559708379593602e-06	-4.235425719471247419e+01
1.855593356279158979e+04	1.431694615049014487e+02	-9.664311696441302496e-06	-4.235179263805214589e+01
1.855595570564872105e+04	1.433714371976047630e+02	-9.643573410660126005e-06	-4.234933223153264947e+01
1.855597784850585231e+04	1.435691518211630751e+02	-9.623341993151468988e-06	-4.234687595596267329e+01
1.855600034850584052e+04	1.437656771090966288e+02	-9.603300298936578777e-06	-4.234438427482793088e+01
1.855602249136297178e+04	1.439547636422307448e+02	-9.584081281947823546e-06	-4.234193626989757320e+01
1.855604463422010303e+04	1.441395574794330230e+02	-9.565359376730816590e-06	-4.233949233871961582e+01
1.855606677707723429e+04	1.443200528644504459e+02	-9.547131088937394153e-06	-4.233705246255495780e+01
1.855608891993436555e+04	1.444962458320506471e+02	-9.529392855896762888e-06	-4.233461662277501603e+01
1.855611141993435376e+04	1.446708709543410407e+02	-9.511866795794099609e-06	-4.233214561074985482e+01
1.855613356279148502e+04	1.448383831117502041e+02	-9.495105654872420555e-06	-4.232971785264810904e+01
1.855615570564861628e+04	1.450015881283151487e+02	-9.478823782691585322e-06	-4.232729407540523425e+01
1.855617784850574753e+04	1.451604856355165225e+02	-9.463017710491641581e-06	-4.232487426082781212e+01
1.855620034850573575e+04	1.453175333547066828e+02	-9.447440617076354746e-06	-4.232241945740873490e+01
1.855622249136286700e+04	1.454677449571913712e+02	-9.432583755419337801e-06	-4.232000757719205808e+01
1.855624463421999826e+04	1.456136466910016338e+02	-9.418193027808813232e-06	-4.231759960540801302e+01
1.855626677707712952e+04	1.457552363188777349e+02	-9.404265591507499913e-06	-4.231519552428547115e+01
1.855628891993426078e+04	1.458925104198633562e+02	-9.390798826169935692e-06	-4.231279531615644629e+01
1.855631141993424899e+04	1.460275731365223066e+02	-9.377584283856264401e-06	-4.231036034410275448e+01
1.855633356279138025e+04	1.461561302141408589e+02	-9.365039330248055570e-06	-4.230796789112607570e+01
1.855635570564851150e+04	1.462803521104730180e+02	-9.352948681960690942e-06	-4.230557925847148226e+01
1.855637784850564276e+04	1.464002286744284618e+02	-9.341310783560676176e-06	-4.230319442887787318e+01
1.855640034850563097e+04	1.465175752019602555e+02	-9.329947637076802311e-06	-4.230077501218289626e+01
1.855642249136276223e+04	1.466286520440452250e+02	-9.319218992191810540e-06	-4.229839779797367072e+01
1.855644463421989349e+04	1.467353408124495786e+02	-9.308940163479399510e-06	-4.229602433536327766e+01
