# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.855557784850606549e+04	4.019215491466437129e+02	-1.879418861894319277e-06	-1.905179404150942446e+01
1.855560034850605371e+04	4.039534436690005919e+02	-1.861427643202830813e-06	-1.905016009748002404e+01
1.855562249136318496e+04	4.059488465940750643e+02	-1.844009764391988105e-06	-1.904855682559826491e+01
1.855564463422031622e+04	4.079399771791847797e+02	-1.826871717275030362e-06	-1.904695821907014164e+01
1.855566677707744748e+04	4.099267745144140918e+02	-1.810007989255396425e-06	-1.904536424517824145e+01
1.855568891993457873e+04	4.119091830061060477e+02	-1.793413158139060083e-06	-1.904377487158373228e+01
1.855571141993456695e+04	4.139190180575604927e+02	-1.776820618018658141e-06	-1.904216454220589938e+01
1.855573356279169820e+04	4.158924285616902239e+02	-1.760751812620490223e-06	-1.904058434658843169e+01
1.855575570564882946e+04	4.178613103695776090e+02	-1.744936123385359411e-06	-1.903900865595914382e+01
1.855577784850596072e+04	4.198256246301969554e+02	-1.729368517198954434e-06	-1.903743743943636346e+01
1.855580034850594529e+04	4.218169056020461198e+02	-1.713798861705688564e-06	-1.903584543220111058e+01
1.855582249136307655e+04	4.237719036758185780e+02	-1.698716543943724630e-06	-1.903428314356903783e+01
1.855584463422020781e+04	4.257222313553804725e+02	-1.683867765676806160e-06	-1.903272523798219851e+01
1.855586677707733907e+04	4.276678571467169263e+02	-1.669247923936446941e-06	-1.903117168592031305e+01
1.855588891993447032e+04	4.296087497545742622e+02	-1.654852528092645483e-06	-1.902962245818802245e+01
1.855591141993445854e+04	4.315760660652622391e+02	-1.640450346843456867e-06	-1.902805264268874552e+01
1.855593356279158979e+04	4.335073182789572002e+02	-1.626494274105054738e-06	-1.902651204589116318e+01
1.855595570564872105e+04	4.354337375331455178e+02	-1.612749797182100798e-06	-1.902497568728058752e+01
1.855597784850585231e+04	4.373552868664731363e+02	-1.599212888567199551e-06	-1.902344353891382767e+01
1.855600034850584052e+04	4.393027994879765856e+02	-1.585666232537143853e-06	-1.902189096266129198e+01
1.855602249136297178e+04	4.412144056946507362e+02	-1.572536036325598663e-06	-1.902036721894181426e+01
1.855604463422010303e+04	4.431210108380774955e+02	-1.559601963858139762e-06	-1.901884760297786769e+01
1.855606677707723429e+04	4.450225633347362759e+02	-1.546860450959995022e-06	-1.901733208799863206e+01
1.855608891993436555e+04	4.469190069156550180e+02	-1.534308045675480117e-06	-1.901582064751350742e+01
