# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.855557784850606549e+04	1.915434521082944741e+02	-6.151689508042833145e-06	-4.104083107741603698e+01
1.855560034850605371e+04	1.919296255807504679e+02	-6.131460467019317784e-06	-4.103828188687342049e+01
1.855562249136318496e+04	1.923063915945245128e+02	-6.111821039317491091e-06	-4.103577779378761647e+01
1.855564463422031622e+04	1.926798336776668918e+02	-6.092448668139269411e-06	-4.103327827550840823e+01
1.855566677707744748e+04	1.930498737490979977e+02	-6.073344336988130682e-06	-4.103078331005934842e+01
1.855568891993457873e+04	1.934164281440075683e+02	-6.054509300320997189e-06	-4.102829287560212634e+01
1.855571141993456695e+04	1.937852328186916111e+02	-6.035647858465808018e-06	-4.102576689170126656e+01
1.855573356279169820e+04	1.941444850850910200e+02	-6.017360516697989563e-06	-4.102328552646674353e+01
1.855575570564882946e+04	1.944999707372319904e+02	-5.999347582277052103e-06	-4.102080862718221965e+01
1.855577784850596072e+04	1.948515891363482240e+02	-5.981611079857958503e-06	-4.101833617255263675e+01
1.855580034850594529e+04	1.952048111141267270e+02	-5.963873855261551394e-06	-4.101582837059408604e+01
1.855582249136307655e+04	1.955483166273846223e+02	-5.946701226395683989e-06	-4.101336481275302503e+01
1.855584463422020781e+04	1.958876382353828944e+02	-5.929811634354395220e-06	-4.101090563613498574e+01
1.855586677707733907e+04	1.962226690144773329e+02	-5.913207315634936687e-06	-4.100845081996948949e+01
1.855588891993447032e+04	1.965533023020987002e+02	-5.896890472178129742e-06	-4.100600034361397661e+01
1.855591141993445854e+04	1.968846551141455166e+02	-5.880607119130726154e-06	-4.100351476768887693e+01
1.855593356279158979e+04	1.972061029697213144e+02	-5.864876249909078200e-06	-4.100107297870244594e+01
1.855595570564872105e+04	1.975228405357583199e+02	-5.849438961047848511e-06	-4.099863546802896508e+01
1.855597784850585231e+04	1.978347693898126920e+02	-5.834296999255479541e-06	-4.099620221552872579e+01
