3.218704101364730024e-12	1.859006942256980110e+06
1.363659118545029939e-11	5.615300150393109769e+07
5.653601803491649698e-11	1.294981485819910020e+08
2.339703538376020134e-10	3.214060360644069910e+08
1.166073392376189935e-09	4.131962184021980166e+08
4.851911197502050227e-09	8.227107124612530470e+08
2.249710622822439874e-08	6.314585727031970024e+08
9.652457391214939781e-08	3.606929318358910084e+08
3.832185701644229789e-07	1.533294074084979892e+08
1.671136053804230040e-06	4.521882364536400139e+07
7.195990893551489713e-06	2.230037973377389833e+07
2.888031619481270138e-05	6.100996464637359604e+06
1.478848591336289940e-04	2.606182397577919997e+06
5.871274222638419530e-04	1.107879770710190060e+06
2.360627622182229907e-03	2.816315221329450142e+05
9.355184492001990260e-03	1.288454162023300014e+05
4.028386692914150136e-02	6.354215958386739658e+04
1.798396994035680041e-01	7.212025743238259565e+03
8.160072397700599556e-01	1.336452722893009923e+04
3.292734344034839999e+00	9.275609571037300339e+04
1.302560141306480013e+01	4.566989944493529765e+04
5.846602160084069766e+01	1.314999832675860089e+05
2.966923893598000177e+02	8.110155040966620436e+04
1.045648011088389921e+03	1.389662681335720117e+05
5.277606868269380357e+03	1.068347428838079941e+05
2.635031862639719839e+04	1.276188813993340009e+05
8.797343544060959539e+04	6.263134284457330068e+04
4.123519503973679966e+05	3.093784963523360057e+04
1.830927406437519938e+06	1.384156118498630073e-01
7.757037536081479862e+06	1.322138769713429862e-01
