# time(us)	tip(nm)	Fts(nN)	Xb(nm)
2.968889248550312186e+04	-4.558515641135689300e+00	-2.874737589375053748e-02	-7.768683037478787412e+00
2.968889605693169142e+04	-4.508493730147571377e+00	-2.792801600929993924e-02	-7.768280762363686698e+00
2.968889962836026098e+04	-4.458176431076655177e+00	-2.713856419328276523e-02	-7.767881779050144431e+00
2.968890319978883053e+04	-4.407565727169714620e+00	-2.637771307123264533e-02	-7.767486037241413399e+00
2.968890677121740009e+04	-4.356663613399790691e+00	-2.564422142564500018e-02	-7.767093487564387999e+00
2.968891034264596965e+04	-4.305472096387942038e+00	-2.493691040924192123e-02	-7.766704081547025851e+00
2.968891391407453921e+04	-4.253993194324475091e+00	-2.425465999927290534e-02	-7.766317771596702890e+00
2.968891748550310876e+04	-4.202228936889749633e+00	-2.359640567601423503e-02	-7.765934510979429994e+00
2.968892105693167832e+04	-4.150181365174489656e+00	-2.296113530990501195e-02	-7.765554253799965778e+00
2.968892462836024788e+04	-4.097852531599656345e+00	-2.234788624293414586e-02	-7.765176954982655921e+00
2.968892819978881744e+04	-4.045244499835808583e+00	-2.175574255096667312e-02	-7.764802570253022118e+00
2.968893177121738699e+04	-3.992359344722077985e+00	-2.118383247469119227e-02	-7.764431056120044694e+00
2.968893534264595655e+04	-3.939199152184616803e+00	-2.063132600778040324e-02	-7.764062369859059842e+00
2.968893891407452611e+04	-3.885766019154618611e+00	-2.009743263169515293e-02	-7.763696469495275032e+00
2.968894248550309567e+04	-3.832062053485862929e+00	-1.958139918733553878e-02	-7.763333313787865286e+00
2.968894605693166523e+04	-3.778089373871805989e+00	-1.908250787445432001e-02	-7.762972862214549075e+00
2.968894962836023478e+04	-3.723850109762242955e+00	-1.860007437040234538e-02	-7.762615074956732641e+00
2.968895319978880434e+04	-3.669346401279502512e+00	-1.813344606038222104e-02	-7.762259912885078883e+00
2.968895677121737390e+04	-3.614580399134198707e+00	-1.768200037194303867e-02	-7.761907337545538077e+00
2.968896034264594346e+04	-3.559554264540511603e+00	-1.724514320696469635e-02	-7.761557311145815596e+00
2.968896391407451301e+04	-3.504270169131057155e+00	-1.682230746485692888e-02	-7.761209796542194894e+00
2.968896748550308257e+04	-3.448730294871297897e+00	-1.641295165113568558e-02	-7.760864757226807242e+00
2.968897105693165213e+04	-3.392936833973519750e+00	-1.601655856594834046e-02	-7.760522157315194569e+00
2.968897462836022169e+04	-3.336891988810352760e+00	-1.563263406749290305e-02	-7.760181961534260431e+00
2.968897819978879124e+04	-3.280597971827897918e+00	-1.526070590562581160e-02	-7.759844135210508753e+00
2.968898177121736080e+04	-3.224057005458415226e+00	-1.490032262127392176e-02	-7.759508644258636068e+00
2.968898534264593036e+04	-3.167271322032516601e+00	-1.455105250756415919e-02	-7.759175455170377766e+00
2.968898891407449992e+04	-3.110243163691029711e+00	-1.421248262886231836e-02	-7.758844535003656340e+00
2.968899248550306947e+04	-3.052974782296364431e+00	-1.388421789416645867e-02	-7.758515851372002281e+00
2.968899605693163903e+04	-2.995468439343497380e+00	-1.356588018153938487e-02	-7.758189372434219244e+00
2.968899962836020859e+04	-2.937726405870527913e+00	-1.325710751048447648e-02	-7.757865066884299665e+00
2.968900319978877815e+04	-2.879750962368825551e+00	-1.295755325937358177e-02	-7.757542903941604173e+00
2.968900677121734770e+04	-2.821544398692786171e+00	-1.266688542522655461e-02	-7.757222853341215973e+00
2.968901034264591726e+04	-2.763109013969136551e+00	-1.238478592331678299e-02	-7.756904885324566123e+00
2.968901391407448682e+04	-2.704447116505833471e+00	-1.211094992424283263e-02	-7.756588970630232005e+00
2.968901748550305638e+04	-2.645561023700627512e+00	-1.184508522625823609e-02	-7.756275080484974715e+00
2.968902105693162594e+04	-2.586453061949184118e+00	-1.158691166079285108e-02	-7.755963186594932779e+00
2.968902462836019549e+04	-2.527125566552784974e+00	-1.133616052923155405e-02	-7.755653261137017473e+00
2.968902819978876505e+04	-2.467580881625675016e+00	-1.109257406913916749e-02	-7.755345276750520433e+00
2.968903177121733461e+04	-2.407821360002036837e+00	-1.085590494823490161e-02	-7.755039206528860696e+00
