# time(us)	tip(nm)	Fts(nN)	Xb(nm)
2.968889248550312186e+04	1.192773234578819785e+00	-2.556994522817360171e-02	-2.222803316002390783e+00
2.968889605693169142e+04	1.243111017734532808e+00	-2.487280620064397443e-02	-2.222744430735204890e+00
2.968889962836026098e+04	1.293746668462908866e+00	-2.419990292167463128e-02	-2.222685784618954052e+00
2.968890319978883053e+04	1.344678246025839519e+00	-2.355023100298172037e-02	-2.222627374360951258e+00
2.968890677121740009e+04	1.395903797912514177e+00	-2.292283402814958640e-02	-2.222569196728255037e+00
2.968891034264596965e+04	1.447421359903996452e+00	-2.231680097247093486e-02	-2.222511248546210627e+00
2.968891391407453921e+04	1.499228956138178193e+00	-2.173126377640416385e-02	-2.222453526697034665e+00
2.968891748550310876e+04	1.551324599175280428e+00	-2.116539506265808016e-02	-2.222396028118476252e+00
2.968892105693167832e+04	1.603706290063748208e+00	-2.061840598761749757e-02	-2.222338749802516222e+00
2.968892462836024788e+04	1.656372018406736757e+00	-2.008954421847022886e-02	-2.222281688794130350e+00
2.968892819978881744e+04	1.709319762428973544e+00	-1.957809202799900769e-02	-2.222224842190098304e+00
2.968893177121738699e+04	1.762547489044145266e+00	-1.908336449955506248e-02	-2.222168207137849016e+00
2.968893534264595655e+04	1.816053153922795538e+00	-1.860470783524505525e-02	-2.222111780834354899e+00
2.968893891407452611e+04	1.869834701560639800e+00	-1.814149776084161142e-02	-2.222055560525062923e+00
2.968894248550309567e+04	1.923890065347441336e+00	-1.769313802136602068e-02	-2.221999543502871877e+00
2.968894605693166523e+04	1.978217167636344476e+00	-1.725905896170438006e-02	-2.221943727107121180e+00
2.968894962836023478e+04	2.032813919813704739e+00	-1.683871618699602987e-02	-2.221888108722641864e+00
2.968895319978880434e+04	2.087678222369419689e+00	-1.643158929788676725e-02	-2.221832685778811545e+00
2.968895677121737390e+04	2.142807964967759382e+00	-1.603718069606510990e-02	-2.221777455748661367e+00
2.968896034264594346e+04	2.198201026518687318e+00	-1.565501445580490605e-02	-2.221722416147995371e+00
2.968896391407451301e+04	2.253855275249675660e+00	-1.528463525751842279e-02	-2.221667564534538286e+00
